iter	Logloss
0	0.6877688355
5	0.6653285002
10	0.6485317064
15	0.6358864897
20	0.6262648602
25	0.6184935043
30	0.6123292884
35	0.6074042998
40	0.6032019404
45	0.5996056527
50	0.5966184076
55	0.5939832533
60	0.5916945935
65	0.5896862384
70	0.5876712505
75	0.5859385709
80	0.5843200307
85	0.5828417465
90	0.5813168945
95	0.580072969
100	0.5788240344
105	0.5775889527
110	0.5764464537
115	0.5753737373
120	0.5743628578
125	0.5734773797
130	0.5725936634
135	0.5717348546
140	0.570877324
145	0.5701291999
150	0.5693634576
155	0.5685686967
160	0.5678506621
165	0.567214881
170	0.5665872182
175	0.5659582081
180	0.5652748575
185	0.5646399401
190	0.564076118
195	0.5634883556
200	0.5629510646
205	0.5623512457
210	0.5618180312
215	0.5613274462
220	0.5607924698
225	0.5602739718
230	0.5598152725
235	0.5592915235
240	0.5588213896
245	0.5583788923
250	0.5579665881
255	0.5575447838
260	0.5571191449
265	0.5566665257
270	0.5562661398
275	0.5558806777
280	0.5554517569
285	0.5550270853
290	0.554605661
295	0.5542171588
300	0.5538641352
305	0.5534904532
310	0.5531503152
315	0.5528088299
320	0.5524411243
325	0.5520829879
330	0.5517639228
335	0.5513974263
340	0.5510670302
345	0.5506818099
350	0.5503601193
355	0.5500150067
360	0.5496779432
365	0.5493687237
370	0.5490642024
375	0.5487542574
380	0.5484580962
385	0.5481822825
390	0.5478470154
395	0.5475353086
400	0.5472148962
405	0.5469563899
410	0.5466332484
415	0.5463254453
420	0.5460384042
425	0.5456990261
430	0.5453837956
435	0.5450964436
440	0.5448161044
445	0.5445256432
450	0.5442417112
455	0.5439546356
460	0.5436689763
465	0.5433987935
470	0.5431276434
475	0.5428710717
480	0.5425480339
485	0.5422941913
490	0.5420374123
495	0.5417650186
500	0.5415013304
505	0.5412296622
510	0.5409776851
515	0.5406891239
520	0.5404449887
525	0.5401756005
530	0.539921447
535	0.53968467
540	0.5394243673
545	0.5391271007
550	0.5389012747
555	0.5386692305
560	0.538419948
565	0.5381685927
570	0.5379064245
575	0.5376618747
580	0.5374216087
585	0.5371490768
590	0.5369010033
595	0.5366792538
600	0.5364442386
605	0.5362259091
610	0.5359816357
615	0.5357504206
620	0.5355386894
625	0.5352937941
630	0.5350627518
635	0.5348097383
640	0.5345558957
645	0.5343495536
650	0.5340828945
655	0.5338689868
660	0.5336340062
665	0.5333946729
670	0.5331558577
675	0.532909857
680	0.532690802
685	0.5324173374
690	0.5321998025
695	0.5319763256
700	0.5317557506
705	0.5315592195
710	0.53134241
715	0.5311048731
720	0.5308568342
725	0.5306206099
730	0.530396304
735	0.5301772836
740	0.5299715633
745	0.5297509883
750	0.5295274078
755	0.5293149511
760	0.5290807305
765	0.5288669265
770	0.5286390624
775	0.5284372112
780	0.5282185362
785	0.5279817247
790	0.5277721698
795	0.5275713205
800	0.5273475328
805	0.5271160068
810	0.5268856553
815	0.5266725422
820	0.5264567
825	0.5262791
830	0.5260847453
835	0.5258950543
840	0.5256873303
845	0.5254796064
850	0.5252956845
855	0.5250842987
860	0.5248822748
865	0.5246575198
870	0.5244625778
875	0.5242363718
880	0.5240374571
885	0.5238369186
890	0.5236101254
895	0.523426929
900	0.5232327124
905	0.5230361813
910	0.5228312556
915	0.5226459864
920	0.5224521845
925	0.522261077
930	0.522092839
935	0.5219147553
940	0.5217162206
945	0.5215217967
950	0.5213254038
955	0.5211126362
960	0.5209517218
965	0.52077122
970	0.5205522686
975	0.5203986089
980	0.5202145834
985	0.520045378
990	0.5198566197
995	0.5196682759
1000	0.5194853904
1005	0.5192805338
1010	0.5190748481
1015	0.5188823934
1020	0.5186902841
1025	0.5185179005
1030	0.5183149439
1035	0.5181305038
1040	0.5179334891
1045	0.5177310161
1050	0.5175422924
1055	0.5173669724
1060	0.5171893378
1065	0.5170097687
1070	0.5168086085
1075	0.5166422359
1080	0.5164573813
1085	0.5162484827
1090	0.5160616245
1095	0.5158783244
1100	0.5156868025
1105	0.5155068879
1110	0.5153040003
1115	0.5151229112
1120	0.51491042
1125	0.5147384164
1130	0.5145665164
1135	0.5144016984
1140	0.5142235456
1145	0.5140100526
1150	0.513804125
1155	0.5136209631
1160	0.5134337248
1165	0.5132604085
1170	0.5130770394
1175	0.5128972975
1180	0.5127297158
1185	0.5125190555
1190	0.5123367572
1195	0.5121749447
1200	0.5119869464
1205	0.5118180519
1210	0.5116374119
1215	0.5114674811
1220	0.5112884992
1225	0.5111452032
1230	0.5109789342
1235	0.5108182271
1240	0.5106212469
1245	0.510414663
1250	0.5102211374
1255	0.5100570103
1260	0.5099009668
1265	0.5097193941
1270	0.5095252812
1275	0.5093495466
1280	0.5091554338
1285	0.5089828774
1290	0.5088156757
1295	0.5086303029
1300	0.5084477974
1305	0.5082781084
1310	0.5081027539
1315	0.5079293339
1320	0.5077701123
1325	0.5075811467
1330	0.5074165359
1335	0.5072241503
1340	0.5070619232
1345	0.5069088162
1350	0.5067339453
1355	0.5065565871
1360	0.5063972619
1365	0.5062240492
1370	0.5060599911
1375	0.5059224643
1380	0.5057448643
1385	0.5055814972
1390	0.5054251428
1395	0.5052502029
1400	0.5050906358
1405	0.5049467179
1410	0.5047926091
1415	0.5046388802
1420	0.5044659439
1425	0.5042934912
1430	0.504124355
1435	0.5039565314
1440	0.5037894679
1445	0.5036305917
1450	0.5034628718
1455	0.503303512
1460	0.5031408703
1465	0.5029684522
1470	0.5027897813
1475	0.5026221996
1480	0.5024536851
1485	0.5022768797
1490	0.5021197999
1495	0.5019596801
1500	0.5018090949
1505	0.5016423768
1510	0.5014919989
1515	0.5012996479
1520	0.5011151387
1525	0.5009375387
1530	0.5007891644
1535	0.5006177827
1540	0.5004874068
1545	0.5003432817
1550	0.5002056512
1555	0.5000480878
1560	0.4998905243
1565	0.4997063952
1570	0.499523026
1575	0.4993695045
1580	0.4992107319
1585	0.4990596286
1590	0.498898196
1595	0.4987244997
1600	0.4985878019
1605	0.4984274403
1610	0.4982585458
1615	0.4981017424
1620	0.4979359916
1625	0.4977733154
1630	0.4976325412
1635	0.4974620231
1640	0.4973059797
1645	0.4971220923
1650	0.4969833909
1655	0.4968277966
1660	0.4966611476
1665	0.4964775021
1670	0.4963108186
1675	0.4961481424
1680	0.4959771752
1685	0.4958273155
1690	0.4956682666
1695	0.4955098049
1700	0.4953718635
1705	0.4951964399
1710	0.4950296873
1715	0.4948900877
1720	0.4947285169
1725	0.4945891246
1730	0.4944301793
1735	0.4942562412
1740	0.494102996
1745	0.4939564181
1750	0.4938081821
1755	0.493649755
1760	0.493497788
1765	0.4933712121
1770	0.4932150305
1775	0.4930504543
1780	0.4928828035
1785	0.4927212327
1790	0.4925788695
1795	0.4924337771
1800	0.4922748663
1805	0.4921107392
1810	0.4919377684
1815	0.4917864232
1820	0.4916571873
1825	0.4915109203
1830	0.4913691443
1835	0.4911990753
1840	0.4910617557
1845	0.4909131742
1850	0.490760689
1855	0.4906005692
1860	0.4904479113
1865	0.4902762877
1870	0.4901091551
1875	0.4899755664
1880	0.4898490251
1885	0.4896899762
1890	0.4895581494
1895	0.4893681129
1900	0.4892153168
1905	0.489058548
1910	0.4889263066
1915	0.4887761705
1920	0.488623098
1925	0.4884649473
1930	0.4883277314
1935	0.4881790462
1940	0.4880433848
1945	0.4878619848
1950	0.4877156833
1955	0.4875596744
1960	0.4874275022
1965	0.4872863825
1970	0.4871284391
1975	0.4869906013
1980	0.4868669273
1985	0.4867099512
1990	0.4865776753
1995	0.486446263
2000	0.4862996506
2005	0.486135178
2010	0.4859612053
2015	0.4858176675
2020	0.4856727133
2025	0.4855268263
2030	0.4853950341
2035	0.4852560563
2040	0.4851043311
2045	0.4849652842
2050	0.4848389157
2055	0.4846928214
2060	0.4845478327
2065	0.4844227078
2070	0.4842921937
2075	0.4841428522
2080	0.4839882251
2085	0.4838316635
2090	0.4836621818
2095	0.4835397169
2100	0.4834039519
2105	0.4832525721
2110	0.483110347
2115	0.4829959659
2120	0.4828573336
2125	0.4827114466
2130	0.4825652487
2135	0.4824244746
2140	0.4822687075
2145	0.4821247897
2150	0.481982461
2155	0.4818227211
2160	0.4816922071
2165	0.4815594475
2170	0.481413906
2175	0.4812745137
2180	0.481131805
2185	0.4809760725
2190	0.4808621749
2195	0.48073211
2200	0.4805870521
2205	0.4804354306
2210	0.4802983528
2215	0.4801412039
2220	0.4799970097
2225	0.4798450082
2230	0.479682781
2235	0.4795418687
2240	0.479413531
2245	0.4792657786
2250	0.4791235535
2255	0.479005165
2260	0.4788681563
2265	0.4787101093
2270	0.478584328
2275	0.4784375428
2280	0.4783089288
2285	0.478149189
2290	0.4780065839
2295	0.4778700243
2300	0.4777210282
2305	0.4775631884
2310	0.4774276307
2315	0.4772847838
2320	0.4771412459
2325	0.4770089355
2330	0.4768729977
2335	0.476705416
2340	0.4765631564
2345	0.4764127094
2350	0.4762858917
2355	0.4761582104
2360	0.4760133944
2365	0.4758701675
2370	0.4757377879
2375	0.4755825736
2380	0.4754535105
2385	0.4753300092
2390	0.4751812204
2395	0.4750500154
2400	0.4749093103
2405	0.4747599688
2410	0.4746012308
2415	0.4744531675
2420	0.4742852058
2425	0.4741432916
2430	0.474002172
2435	0.4738602923
2440	0.4737169618
2445	0.4735901441
2450	0.4734606319
2455	0.473322345
2460	0.4731905182
2465	0.4730683297
2470	0.4729198172
2475	0.4727817031
2480	0.4726413435
2485	0.4724912419
2490	0.4723432132
2495	0.4721951844
2500	0.4720616994
2505	0.4719267634
2510	0.4717846074
2515	0.4716644917
2520	0.4715299357
2525	0.4714095436
2530	0.4712749531
2535	0.4711374954
2540	0.4709785155
2545	0.4708487615
