iter	Passed	Remaining
0	479	2398189
1	592	1480160
2	685	1141837
3	775	969058
4	866	865199
5	956	795779
6	1054	752133
7	1149	717180
8	1247	691926
9	1331	664593
10	1427	647444
11	1539	640105
12	1625	623624
13	1708	608427
14	1807	600644
15	1887	587927
16	1990	583527
17	2084	577014
18	2182	572034
19	2277	567195
20	2376	563559
21	2484	562220
22	2588	560216
23	2678	555395
24	2774	552164
25	2866	548307
26	2964	546082
27	3048	541389
28	3149	539908
29	3233	535663
30	3337	534918
31	3425	531758
32	3509	528293
33	3601	526012
34	3694	524111
35	3781	521477
36	3866	518570
37	3966	517886
38	4073	518109
39	4168	516870
40	4263	515669
41	4355	514162
42	4454	513478
43	4536	511026
44	4630	509905
45	4729	509365
46	4821	508151
47	4911	506712
48	5012	506419
49	5100	504972
50	5184	503134
51	5275	502020
52	5359	500282
53	5439	498205
54	5523	496574
55	5636	497623
56	5734	497272
57	5831	496886
58	5926	496332
59	6014	495189
60	6103	494144
61	6184	492561
62	6264	490937
63	6351	489878
64	6434	488493
65	6533	488423
66	6629	488113
67	6732	488302
68	6819	487341
69	6903	486178
70	6998	485828
71	7081	484697
72	7164	483524
73	7251	482685
74	7334	481610
75	7413	480346
76	7503	479713
77	7583	478564
78	7675	478138
79	7777	478336
80	7891	479232
81	8001	479922
82	8106	480233
83	8213	480688
84	8314	480770
85	8422	481268
86	8533	481893
87	8641	482338
88	8763	483574
89	8875	484219
90	8967	483760
91	9076	484226
92	9175	484137
93	9280	484352
94	9387	484673
95	9500	485291
96	9614	485994
97	9732	486845
98	9853	487816
99	9961	488089
100	10070	488478
101	10180	488857
102	10292	489338
103	10406	489908
104	10516	490287
105	10629	490751
106	10741	491196
107	10852	491594
108	10978	492637
109	11079	492526
110	11189	492847
111	11289	492700
112	11390	492595
113	11498	492819
114	11612	493258
115	11724	493645
116	11843	494297
117	11947	494306
118	12056	494510
119	12182	495412
120	12294	495745
121	12405	496006
122	12527	496728
123	12645	497257
124	12742	496944
125	12858	497402
126	12976	497921
127	13092	498336
128	13210	498836
129	13293	497985
130	13395	497891
131	13500	497895
132	13602	497767
133	13713	497972
134	13831	498450
135	13943	498693
136	14053	498851
137	14171	499288
138	14287	499647
139	14391	499591
140	14526	500599
141	14639	500830
142	14742	500729
143	14846	500671
144	14953	500686
145	15074	501159
146	15180	501169
147	15291	501315
148	15407	501618
149	15497	501083
150	15588	500584
151	15685	500288
152	15803	500647
153	15910	500665
154	16010	500456
155	16119	500545
156	16233	500759
157	16343	500864
158	16447	500774
159	16549	500627
160	16646	500323
161	16752	500291
162	16861	500353
163	16959	500099
164	17059	499900
165	17158	499670
166	17258	499454
167	17357	499232
168	17461	499137
169	17569	499189
170	17662	498773
171	17760	498535
172	17846	497956
173	17943	497677
174	18044	497509
175	18145	497352
176	18245	497152
177	18336	496741
178	18438	496611
179	18548	496699
180	18659	496796
181	18755	496511
182	18861	496480
183	18964	496375
184	19068	496306
185	19166	496073
186	19264	495841
187	19372	495859
188	19473	495695
189	19571	495462
190	19669	495233
191	19767	495008
192	19885	495286
193	19982	495035
194	20086	494945
195	20191	494899
196	20294	494796
197	20401	494779
198	20506	494736
199	20605	494528
200	20711	494491
201	20823	494601
202	20927	494521
203	21031	494458
204	21141	494494
205	21234	494170
206	21328	493856
207	21417	493430
208	21511	493128
209	21611	492948
210	21711	492788
211	21807	492526
212	21917	492582
213	22038	492876
214	22139	492729
215	22241	492615
216	22331	492227
217	22396	491285
218	22489	490964
219	22591	490841
220	22706	491019
221	22809	490911
222	22912	490821
223	23015	490730
224	23120	490668
225	23243	490992
226	23344	490861
227	23450	490809
228	23553	490707
229	23665	490805
230	23774	490822
231	23867	490521
232	23971	490442
233	24074	490340
234	24178	490267
235	24296	490452
236	24382	490007
237	24480	489824
238	24571	489485
239	24672	489340
240	24771	489162
241	24871	488995
242	24980	489027
243	25084	488946
244	25188	488860
245	25291	488755
246	25379	488374
247	25489	488402
248	25591	488294
249	25697	488259
250	25800	488148
251	25899	487970
252	25998	487810
253	26103	487747
254	26214	487794
255	26323	487801
256	26429	487764
257	26533	487688
258	26632	487501
259	26747	487625
260	26828	487124
261	26928	486967
262	27037	486978
263	27137	486837
264	27238	486703
265	27348	486727
266	27460	486778
267	27561	486647
268	27665	486564
269	27753	486208
270	27858	486143
271	27981	486385
272	28092	486426
273	28190	486236
274	28301	486271
275	28396	486027
276	28497	485905
277	28594	485699
278	28703	485702
279	28815	485740
280	28911	485520
281	29027	485637
282	29131	485564
283	29247	485677
284	29363	485793
285	29473	485801
286	29566	485526
287	29672	485474
288	29770	485283
289	29869	485128
290	29975	485064
